ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default
,variation,TSHIRT-009-M,Premium Fashion Wear 009 - M,1,0,visible,,,,,taxable,parent,1,40,2,0,0,0.5,30,20,5,1,,,108,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-009,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-010,Premium Fashion Wear 010,1,0,visible,Short desc for Premium Fashion Wear 010.,This is a long description for Premium Fashion Wear 010. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-010-S,Premium Fashion Wear 010 - S,1,0,visible,,,,,taxable,parent,1,6,2,0,0,0.5,30,20,5,1,,,31,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-010,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-010-M,Premium Fashion Wear 010 - M,1,0,visible,,,,,taxable,parent,1,33,2,0,0,0.5,30,20,5,1,,,31,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-010,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-011,Premium Fashion Wear 011,1,0,visible,Short desc for Premium Fashion Wear 011.,This is a long description for Premium Fashion Wear 011. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-011-S,Premium Fashion Wear 011 - S,1,0,visible,,,,,taxable,parent,1,17,2,0,0,0.5,30,20,5,1,,,69,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-011,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-011-M,Premium Fashion Wear 011 - M,1,0,visible,,,,,taxable,parent,1,18,2,0,0,0.5,30,20,5,1,,,69,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-011,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-012,Premium Fashion Wear 012,1,0,visible,Short desc for Premium Fashion Wear 012.,This is a long description for Premium Fashion Wear 012. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-012-S,Premium Fashion Wear 012 - S,1,0,visible,,,,,taxable,parent,1,17,2,0,0,0.5,30,20,5,1,,,57,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-012,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-012-M,Premium Fashion Wear 012 - M,1,0,visible,,,,,taxable,parent,1,6,2,0,0,0.5,30,20,5,1,,,57,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-012,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-013,Premium Fashion Wear 013,1,0,visible,Short desc for Premium Fashion Wear 013.,This is a long description for Premium Fashion Wear 013. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-013-S,Premium Fashion Wear 013 - S,1,0,visible,,,,,taxable,parent,1,28,2,0,0,0.5,30,20,5,1,,,101,,,,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-013,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-013-M,Premium Fashion Wear 013 - M,1,0,visible,,,,,taxable,parent,1,36,2,0,0,0.5,30,20,5,1,,,101,,,,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-013,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-014,Premium Fashion Wear 014,1,0,visible,Short desc for Premium Fashion Wear 014.,This is a long description for Premium Fashion Wear 014. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-014-S,Premium Fashion Wear 014 - S,1,0,visible,,,,,taxable,parent,1,50,2,0,0,0.5,30,20,5,1,,,107,,,,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-014,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-014-M,Premium Fashion Wear 014 - M,1,0,visible,,,,,taxable,parent,1,19,2,0,0,0.5,30,20,5,1,,,107,,,,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-014,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-015,Premium Fashion Wear 015,1,0,visible,Short desc for Premium Fashion Wear 015.,This is a long description for Premium Fashion Wear 015. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Accessories,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-015-S,Premium Fashion Wear 015 - S,1,0,visible,,,,,taxable,parent,1,34,2,0,0,0.5,30,20,5,1,,,55,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-015,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-015-M,Premium Fashion Wear 015 - M,1,0,visible,,,,,taxable,parent,1,46,2,0,0,0.5,30,20,5,1,,,55,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-015,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-016,Premium Fashion Wear 016,1,0,visible,Short desc for Premium Fashion Wear 016.,This is a long description for Premium Fashion Wear 016. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-016-S,Premium Fashion Wear 016 - S,1,0,visible,,,,,taxable,parent,1,15,2,0,0,0.5,30,20,5,1,,,92,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-016,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-016-M,Premium Fashion Wear 016 - M,1,0,visible,,,,,taxable,parent,1,13,2,0,0,0.5,30,20,5,1,,,92,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-016,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-017,Premium Fashion Wear 017,1,0,visible,Short desc for Premium Fashion Wear 017.,This is a long description for Premium Fashion Wear 017. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-017-S,Premium Fashion Wear 017 - S,1,0,visible,,,,,taxable,parent,1,16,2,0,0,0.5,30,20,5,1,,,33,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-017,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-017-M,Premium Fashion Wear 017 - M,1,0,visible,,,,,taxable,parent,1,5,2,0,0,0.5,30,20,5,1,,,33,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-017,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-018,Premium Fashion Wear 018,1,0,visible,Short desc for Premium Fashion Wear 018.,This is a long description for Premium Fashion Wear 018. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-018-S,Premium Fashion Wear 018 - S,1,0,visible,,,,,taxable,parent,1,35,2,0,0,0.5,30,20,5,1,,,68,,,,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-018,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-018-M,Premium Fashion Wear 018 - M,1,0,visible,,,,,taxable,parent,1,20,2,0,0,0.5,30,20,5,1,,,68,,,,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-018,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-019,Premium Fashion Wear 019,1,0,visible,Short desc for Premium Fashion Wear 019.,This is a long description for Premium Fashion Wear 019. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-019-S,Premium Fashion Wear 019 - S,1,0,visible,,,,,taxable,parent,1,9,2,0,0,0.5,30,20,5,1,,,115,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-019,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-019-M,Premium Fashion Wear 019 - M,1,0,visible,,,,,taxable,parent,1,13,2,0,0,0.5,30,20,5,1,,,115,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-019,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-020,Premium Fashion Wear 020,1,0,visible,Short desc for Premium Fashion Wear 020.,This is a long description for Premium Fashion Wear 020. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-020-S,Premium Fashion Wear 020 - S,1,0,visible,,,,,taxable,parent,1,21,2,0,0,0.5,30,20,5,1,,,114,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-020,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-020-M,Premium Fashion Wear 020 - M,1,0,visible,,,,,taxable,parent,1,47,2,0,0,0.5,30,20,5,1,,,114,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-020,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-021,Premium Fashion Wear 021,1,0,visible,Short desc for Premium Fashion Wear 021.,This is a long description for Premium Fashion Wear 021. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-021-S,Premium Fashion Wear 021 - S,1,0,visible,,,,,taxable,parent,1,12,2,0,0,0.5,30,20,5,1,,,52,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-021,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-021-M,Premium Fashion Wear 021 - M,1,0,visible,,,,,taxable,parent,1,7,2,0,0,0.5,30,20,5,1,,,52,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-021,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-022,Premium Fashion Wear 022,1,0,visible,Short desc for Premium Fashion Wear 022.,This is a long description for Premium Fashion Wear 022. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Accessories,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-022-S,Premium Fashion Wear 022 - S,1,0,visible,,,,,taxable,parent,1,10,2,0,0,0.5,30,20,5,1,,,53,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-022,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-022-M,Premium Fashion Wear 022 - M,1,0,visible,,,,,taxable,parent,1,5,2,0,0,0.5,30,20,5,1,,,53,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-022,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-023,Premium Fashion Wear 023,1,0,visible,Short desc for Premium Fashion Wear 023.,This is a long description for Premium Fashion Wear 023. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-023-S,Premium Fashion Wear 023 - S,1,0,visible,,,,,taxable,parent,1,24,2,0,0,0.5,30,20,5,1,,,55,,,,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-023,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-023-M,Premium Fashion Wear 023 - M,1,0,visible,,,,,taxable,parent,1,24,2,0,0,0.5,30,20,5,1,,,55,,,,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-023,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-024,Premium Fashion Wear 024,1,0,visible,Short desc for Premium Fashion Wear 024.,This is a long description for Premium Fashion Wear 024. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-024-S,Premium Fashion Wear 024 - S,1,0,visible,,,,,taxable,parent,1,12,2,0,0,0.5,30,20,5,1,,,119,,,,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-024,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-024-M,Premium Fashion Wear 024 - M,1,0,visible,,,,,taxable,parent,1,6,2,0,0,0.5,30,20,5,1,,,119,,,,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-024,,,,,,0,Size,M,,1,,Color,Black,,1,
